#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 21 18 50  50  2.7  4.8  0.02 99.00  9.61 999 1017.5   1.9   2.1 999.0 99.0 99.00
2016 03 21 19 50  40  2.7  5.3  0.01 99.00  6.43 999 1016.4   1.8   2.1 999.0 99.0 99.00
2016 03 21 20 50  46  2.5  4.9  0.02 99.00  9.50 999 1015.7   1.6   2.0 999.0 99.0 99.00
2016 03 21 21 50  45  2.4  5.5  0.01 99.00  7.91 999 1014.7   1.3   1.9 999.0 99.0 99.00
2016 03 21 22 50  36  3.2  5.3  0.01 99.00  8.25 999 1014.5   1.0   1.7 999.0 99.0 99.00
2016 03 21 23 50  25  2.3  5.3 99.00 99.00 99.00 999 1014.2   0.9   1.5 999.0 99.0 99.00
2016 03 22 00 50  35  3.1  5.4  0.01 99.00  7.99 999 1014.3   0.7   1.3 999.0 99.0 99.00
2016 03 22 01 50  26  2.2  4.3  0.02 99.00 10.45 999 1014.1   0.4   1.0 999.0 99.0 99.00
2016 03 22 02 50  35  3.0  5.5  0.01 99.00  6.70 999 1013.7   0.4   0.8 999.0 99.0 99.00
2016 03 22 03 50  35  4.4  7.2  0.01 99.00  7.67 999 1012.8   0.6   0.7 999.0 99.0 99.00
2016 03 22 04 50  33  2.9  5.7 99.00 99.00 99.00 999 1012.4   0.7   0.7 999.0 99.0 99.00
2016 03 22 05 50  25  3.2  5.8  0.01 99.00  6.20 999 1012.0   0.2   0.6 999.0 99.0 99.00
2016 03 22 06 50  20  2.9  6.1  0.01 99.00  7.30 999 1011.2  -0.5   0.4 999.0 99.0 99.00
2016 03 22 07 50  28  2.9  5.6 99.00 99.00 99.00 999 1010.6  -0.3   0.2 999.0 99.0 99.00
2016 03 22 08 50  27  2.0  4.1  0.02 99.00  9.02 999 1009.8  -0.3   0.1 999.0 99.0 99.00
2016 03 22 09 50  33  2.6  5.7  0.01 99.00  7.67 999 1009.4  -0.3   0.1 999.0 99.0 99.00
2016 03 22 10 50  34  3.0  5.5  0.01 99.00  7.21 999 1008.5  -0.1   0.1 999.0 99.0 99.00
2016 03 22 11 50  36  4.1  6.2  0.01 99.00  8.84 999 1008.8   0.1   0.1 999.0 99.0 99.00
2016 03 22 12 50  36  5.0  7.7  0.01 99.00  8.58 999 1008.8   0.4   0.1 999.0 99.0 99.00
2016 03 22 13 50  34  5.3  7.4  0.01 99.00  8.81 999 1009.1   0.5   0.2 999.0 99.0 99.00
2016 03 22 14 50  37  4.5  7.9  0.01 99.00  8.48 999 1009.5   0.9   0.4 999.0 99.0 99.00
2016 03 22 15 50  33  5.6  8.8  0.01 99.00  8.71 999 1010.4   0.9   0.6 999.0 99.0 99.00
2016 03 22 16 50  33  5.5  8.7  0.01 99.00  6.87 999 1010.7   0.6   0.6 999.0 99.0 99.00
2016 03 22 17 50  33  5.0  7.4  0.01 99.00  9.10 999 1010.8   0.8   0.6 999.0 99.0 99.00
2016 03 22 18 50  33  5.0  7.7  0.02 99.00  8.53 999 1011.1   0.9   0.8 999.0 99.0 99.00
2016 03 22 19 50  46  4.2  7.6  0.01 99.00  6.92 999 1011.4   0.8   0.9 999.0 99.0 99.00
2016 03 22 20 50  44  3.8  7.7 99.00 99.00 99.00 999 1011.6   0.9   0.9 999.0 99.0 99.00
2016 03 22 21 50  33  4.7  7.4 99.00 99.00 99.00 999 1012.1   0.9   0.9 999.0 99.0 99.00
2016 03 22 22 50  37  2.8  5.0  0.02 99.00  8.80 999 1012.6   0.9   0.9 999.0 99.0 99.00
